"","s1.pileup.freq","s2.pileup.freq","s3.pileup.freq","s4.pileup.freq","s5.pileup.freq"
"chr1:23836372",8028,7552,6199,8261,7426
"chr1:23836373",8107,7625,6246,8375,7487
"chr1:23836374",8144,7646,6268,8401,7510
"chr1:23836375",8178,7668,6305,8427,7538
"chr1:23836376",8220,7654,6365,8437,7602
"chr1:23836377",8234,7670,6381,8429,7612
"chr1:23836378",8292,7709,6443,8470,7639
"chr1:23836379",8314,7737,6466,8506,7655
"chr1:23836380",8346,7783,6505,8556,7706
"chr1:23836381",8393,7837,6553,8621,7763
"chr1:23836382",8441,7911,6595,8686,7794
"chr1:23836383",8501,7974,6652,8781,7882
"chr1:23836384",8557,8049,6707,8820,7947
"chr1:23836385",8550,8034,6695,8813,7945
"chr1:23836386",8588,8064,6746,8881,7981
"chr1:23836387",8589,8076,6763,8898,7988
"chr1:23836388",8543,8039,6772,8915,7979
"chr1:23836389",8773,8290,6943,9087,8157
"chr1:23836390",8903,8457,7055,9197,8308
"chr1:23836391",9191,8664,7309,9418,8604
"chr1:23836392",9269,8749,7412,9545,8746
"chr1:23836393",9294,8760,7413,9541,8747
"chr1:23836394",9301,8798,7443,9616,8786
"chr1:23836395",9339,8846,7447,9670,8816
"chr1:23836396",9338,8860,7452,9675,8824
"chr1:23836397",9303,8853,7451,9650,8822
"chr1:23836398",9526,8968,7614,9840,8944
"chr1:23836399",9529,9001,7629,9903,8951
"chr1:23836400",9638,9137,7740,10014,9088
"chr1:23836401",9660,9155,7770,10058,9127
"chr1:23836402",9762,9331,7821,10155,9272
"chr1:23836403",9782,9372,7830,10173,9290
"chr1:23836404",9825,9434,7863,10244,9316
"chr1:23836405",9882,9480,7916,10339,9352
"chr1:23836406",9780,9418,7898,10350,9339
"chr1:23836407",10048,9599,8036,10549,9489
"chr1:23836408",10192,9680,8138,10675,9605
"chr1:23836409",10153,9661,8103,10667,9568
"chr1:23836410",10188,9695,8115,10690,9600
"chr1:23836411",10219,9727,8124,10728,9608
"chr1:23836412",10168,9713,8116,10733,9565
"chr1:23836413",10216,9750,8163,10793,9605
"chr1:23836414",10222,9770,8172,10877,9600
"chr1:23836415",10243,9761,8185,10968,9619
"chr1:23836416",10314,9825,8231,11038,9654
"chr1:23836417",10316,9816,8244,11053,9685
"chr1:23836418",10304,9832,8225,11068,9687
"chr1:23836419",10245,9787,8188,11039,9643
"chr1:23836420",10263,9779,8187,11112,9633
"chr1:23836421",10172,9729,8131,11058,9564
"chr1:23836422",10110,9658,8064,10985,9452
"chr1:23836423",10095,9619,8055,10987,9444
"chr1:23836424",10009,9575,7998,10883,9359
"chr1:23836425",10057,9598,8024,10907,9394
"chr1:23836426",9986,9563,7984,10901,9339
"chr1:23836427",9792,9418,7859,10710,9130
"chr1:23836428",9770,9395,7836,10705,9078
"chr1:23836429",9695,9367,7839,10700,9055
"chr1:23836430",9747,9419,7847,10697,9049
"chr1:23836431",9731,9406,7848,10641,9023
"chr1:23836432",9731,9342,7813,10600,9001
"chr1:23836433",9696,9310,7798,10593,8980
"chr1:23836434",9689,9312,7804,10584,8982
"chr1:23836435",9691,9300,7795,10590,8982
"chr1:23836436",9552,9202,7682,10479,8895
"chr1:23836437",9689,9249,7791,10591,8972
"chr1:23836438",9695,9267,7790,10596,8966
"chr1:23836439",9554,9083,7653,10428,8814
"chr1:23836440",9486,8987,7635,10385,8749
"chr1:23836441",9500,8989,7650,10404,8749
"chr1:23836442",9493,8957,7619,10387,8731
"chr1:23836443",9429,8921,7590,10336,8722
"chr1:23836444",9476,8932,7604,10370,8773
"chr1:23836445",9463,8907,7595,10366,8803
"chr1:23836446",9413,8833,7582,10331,8736
"chr1:23836447",9364,8720,7512,10217,8673
"chr1:23836448",9280,8651,7468,10154,8606
"chr1:23836449",9230,8556,7400,10071,8561
"chr1:23836450",9199,8483,7360,10036,8515
"chr1:23836451",8959,8209,7216,9787,8300
"chr1:23836452",8919,8170,7156,9747,8262
"chr1:23836453",8901,8138,7146,9749,8252
"chr1:23836454",8820,8055,7096,9677,8163
"chr1:23836455",8826,8032,7103,9655,8171
"chr1:23836456",8812,8029,7105,9727,8200
"chr1:23836457",8731,7997,7055,9630,8131
"chr1:23836458",8804,8043,7095,9662,8153
"chr1:23836459",8790,8034,7073,9652,8132
"chr1:23836460",8398,7668,6820,9351,7822
"chr1:23836461",8416,7701,6836,9326,7825
"chr1:23836462",8404,7658,6814,9301,7802
"chr1:23836463",8313,7528,6743,9190,7695
"chr1:23836464",8323,7545,6762,9224,7708
"chr1:23836465",8336,7580,6773,9236,7728
"chr1:23836466",8294,7496,6749,9131,7664
"chr1:23836467",8221,7400,6697,9081,7595
"chr1:23836468",8234,7417,6677,9048,7579
"chr1:23836469",8189,7347,6648,8973,7539
"chr1:23836470",8054,7206,6573,8755,7447
"chr1:23836471",8046,7172,6556,8718,7430
"chr1:23836472",8083,7192,6564,8728,7427
"chr1:23836473",8057,7169,6538,8703,7401
"chr1:23836474",8005,7095,6484,8645,7355
"chr1:23836475",7827,6951,6386,8561,7216
"chr1:23836476",7500,6668,6235,8324,7054
"chr1:23836477",7513,6684,6233,8344,7040
"chr1:23836478",7464,6660,6213,8309,7017
"chr1:23836479",7446,6661,6199,8286,6970
"chr1:23836480",7491,6682,6198,8314,6982
"chr1:23836481",7470,6664,6187,8270,6941
"chr1:23836482",7380,6557,6116,8191,6855
"chr1:23836483",7399,6544,6091,8128,6838
"chr1:23836484",7381,6538,6075,8126,6821
"chr1:23836485",7390,6548,6082,8100,6789
"chr1:23836486",7395,6558,6082,8115,6795
"chr1:23836487",7357,6561,6062,8136,6765
"chr1:23836488",7378,6559,6048,8185,6749
"chr1:23836489",7336,6506,6022,8125,6724
"chr1:23836490",7306,6462,5978,8059,6682
"chr1:23836491",7269,6342,5904,7921,6568
"chr1:23836492",7090,6231,5808,7758,6369
"chr1:23836493",6982,6177,5732,7675,6248
"chr1:23836494",6789,6039,5585,7527,6074
"chr1:23836495",6830,6065,5602,7564,6093
"chr1:23836496",6824,6071,5604,7575,6077
"chr1:23836497",6750,6008,5553,7499,6031
"chr1:23836498",6781,6052,5582,7496,6040
"chr1:23836499",6760,6029,5583,7458,6023
"chr1:23836500",6644,5953,5497,7357,5932
"chr1:23836501",6776,5977,5573,7398,5977
"chr1:23836502",6801,5971,5572,7406,5989
"chr1:23836503",6866,5988,5607,7444,6013
"chr1:23836504",6860,6001,5592,7415,6012
"chr1:23836505",6699,5895,5467,7276,5863
"chr1:23836506",6595,5799,5390,7170,5776
"chr1:23836507",6568,5705,5334,7092,5757
"chr1:23836508",6487,5681,5310,7026,5712
"chr1:23836509",6326,5570,5181,6859,5556
"chr1:23836510",6381,5638,5229,6904,5595
"chr1:23836511",6421,5645,5253,6914,5630
"chr1:23836512",6347,5592,5226,6832,5550
"chr1:23836513",6343,5550,5196,6816,5536
"chr1:23836514",6214,5428,5127,6627,5425
"chr1:23836515",5882,5188,4920,6317,5138
"chr1:23836516",5880,5188,4918,6277,5128
"chr1:23836517",5828,5155,4867,6216,5083
"chr1:23836518",5866,5166,4854,6174,5060
"chr1:23836519",5867,5103,4814,6145,5029
"chr1:23836520",5608,4862,4660,5926,4878
